"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3385.84479411625,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4134.13064811037,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5081.84344353557,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5184.38739772217,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5506.37101958362,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6148.530316284,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7451.07324858753,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8309.12789372287,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9413.31537045477,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9396.13798353571,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10219.7347740211,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12219.777661813,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",13788.5690898571,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17048.904142366,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",20198.0699142759,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",20572.1875375628,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",20646.7908966306,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",21563.4998859574,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90310302781671,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02420563293941,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.17903777302587,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13722210563998,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16274959759864,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25887443800248,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.46021456453041,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50672520048269,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.57974449353454,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43785580812682,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47713979022179,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64996503147168,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.7320748127025,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00428150430635,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24871052612759,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.1928720133069,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.12367693552043,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.11232896077063,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2034.74085623734,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2162.46747378421,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2244.7522848794,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2344.21805405037,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2406.83265511051,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2543.21361611101,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",2593.48666388136,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",2765.28451367014,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",2918.16764600953,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3153.17866417862,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",3447.23861122044,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",3487.66636209676,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",3547.74291026011,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",3832.08561301622,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",3986.5523401735,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4217.56387944176,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",4512.54844440438,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",4891.79073100194,
"AUT","GDEXPRD","TOT","MLN_USD","A","1999",5397.69869851964,
"AUT","GDEXPRD","TOT","MLN_USD","A","2000",5701.29148356197,
"AUT","GDEXPRD","TOT","MLN_USD","A","2001",6103.45004102573,
"AUT","GDEXPRD","TOT","MLN_USD","A","2002",6434.3617776714,
"AUT","GDEXPRD","TOT","MLN_USD","A","2003",6836.14692299023,
"AUT","GDEXPRD","TOT","MLN_USD","A","2004",6992.1560754222,
"AUT","GDEXPRD","TOT","MLN_USD","A","2005",7830.35614002524,
"AUT","GDEXPRD","TOT","MLN_USD","A","2006",8051.68675307818,
"AUT","GDEXPRD","TOT","MLN_USD","A","2007",8558.81675661763,
"AUT","GDEXPRD","TOT","MLN_USD","A","2008",9238.52081733076,
"AUT","GDEXPRD","TOT","MLN_USD","A","2009",8983.80836537292,
"AUT","GDEXPRD","TOT","MLN_USD","A","2010",9592.4744419184,
"AUT","GDEXPRD","TOT","MLN_USD","A","2011",9659.36244595827,
"AUT","GDEXPRD","TOT","MLN_USD","A","2012",10631.744043415,
"AUT","GDEXPRD","TOT","MLN_USD","A","2013",10793.1881980272,
"AUT","GDEXPRD","TOT","MLN_USD","A","2014",11206.6776372062,
"AUT","GDEXPRD","TOT","MLN_USD","A","2015",11411.7921075874,
"AUT","GDEXPRD","TOT","PC_GDP","A","1981",1.0926165757625,
"AUT","GDEXPRD","TOT","PC_GDP","A","1982",1.13830901480955,
"AUT","GDEXPRD","TOT","PC_GDP","A","1983",1.14750682404492,
"AUT","GDEXPRD","TOT","PC_GDP","A","1984",1.19773911447736,
"AUT","GDEXPRD","TOT","PC_GDP","A","1985",1.19975302945886,
"AUT","GDEXPRD","TOT","PC_GDP","A","1986",1.23921668922344,
"AUT","GDEXPRD","TOT","PC_GDP","A","1987",1.24679187993793,
"AUT","GDEXPRD","TOT","PC_GDP","A","1988",1.28696509078489,
"AUT","GDEXPRD","TOT","PC_GDP","A","1989",1.30730121745071,
"AUT","GDEXPRD","TOT","PC_GDP","A","1990",1.3537538142486,
"AUT","GDEXPRD","TOT","PC_GDP","A","1991",1.43076107048844,
"AUT","GDEXPRD","TOT","PC_GDP","A","1992",1.41785723696825,
